,Brand,Processor,RAM,Storage,GPU,ScreenSize,Resolution,BatteryLife,Weight,Operating System,Price,ProcessorBrand,GPUBrand,GPU_Model,GPUreleaseYear
4629,MSI,AMD Ryzen 7,32,512GB SSD,Nvidia,14.0,1366x768,7.7,2.99,FreeDOS,1427.54,AMD,Nvidia,,2019
4630,Samsung,AMD Ryzen 5,8,1TB SSD,AMD Radeon RX 6600,15.6,2560x1440,8.5,2.84,Windows,1483.42,AMD,AMD Radeon,RX 6600,2021
4631,MSI,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,5.8,2.92,FreeDOS,1415.18,AMD,AMD Radeon,RX 6600,2021
4632,Lenovo,Intel i3,16,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,6.7,1.46,Windows,1934.7,Intel,Nvidia,RTX 2060,2019
4633,Dell,Intel i7,4,2TB SSD,Nvidia RTX 3080,17.3,1920x1080,6.0,1.72,FreeDOS,1150.24,Intel,Nvidia,RTX 3080,2020
4634,MSI,AMD Ryzen 7,16,2TB SSD,Nvidia GTX 1650,15.6,1366x768,7.4,2.68,FreeDOS,1739.98,AMD,Nvidia,GTX 1650,2019
4635,MSI,Intel i5,16,1TB HDD,Integrated,13.3,1366x768,7.8,1.51,Windows,663.24,Intel,Integrata,,2021
4636,Microsoft,Intel i5,4,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,9.5,2.54,macOS,1213.17,Intel,Nvidia,RTX 3060,2021
4637,Microsoft,Intel i9,32,2TB SSD,AMD Radeon RX 6800,16.0,1920x1080,8.1,2.87,Windows,3036.8,Intel,AMD Radeon,RX 6800,2020
4638,Razer,Intel i7,4,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,11.1,1.84,Windows,2461.81,Intel,Nvidia,RTX 2060,2019
4639,Dell,Intel i3,64,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,8.3,2.14,Windows,3561.26,Intel,Nvidia,GTX 1650,2019
4640,Razer,AMD Ryzen 3,4,256GB SSD,Nvidia RTX 3060,14.0,1366x768,4.1,2.84,Windows,909.21,AMD,Nvidia,RTX 3060,2021
4641,Acer,AMD Ryzen 9,4,1TB SSD,Nvidia RTX 2060,14.0,1920x1080,10.9,2.09,Windows,1651.67,AMD,Nvidia,RTX 2060,2019
4642,MSI,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 2060,17.3,2560x1440,5.1,3.43,FreeDOS,1475.38,AMD,Nvidia,RTX 2060,2019
4643,Razer,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,10.2,2.05,Linux,1389.53,AMD,Nvidia,RTX 3060,2021
4644,Dell,AMD Ryzen 9,16,256GB SSD,AMD Radeon RX 6600,16.0,1920x1080,5.6,1.42,macOS,2143.0,AMD,AMD Radeon,RX 6600,2021
4645,MSI,AMD Ryzen 9,8,2TB SSD,Nvidia RTX 3060,13.3,2560x1440,7.4,1.62,FreeDOS,2534.1,AMD,Nvidia,RTX 3060,2021
4646,Lenovo,Intel i3,4,1TB HDD,Integrated,13.3,1920x1080,4.3,3.47,FreeDOS,570.19,Intel,Integrata,,2019
4647,Dell,Intel i3,4,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,4.5,2.94,Windows,1304.67,Intel,Nvidia,RTX 3060,2021
4648,Lenovo,Intel i7,32,1TB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.0,1.39,FreeDOS,2672.98,Intel,AMD Radeon,RX 6600,2021
4649,Acer,AMD Ryzen 3,64,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,10.6,3.13,Linux,2256.52,AMD,Nvidia,GTX 1650,2019
4650,Lenovo,Intel i3,4,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,9.9,2.06,macOS,1375.47,Intel,Nvidia,RTX 3080,2020
4651,Samsung,Intel i5,32,1TB SSD,Nvidia,15.6,3840x2160,9.0,1.96,Windows,1945.89,Intel,Nvidia,,2021
4652,Microsoft,Intel i5,32,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,8.2,3.39,Windows,2122.32,Intel,Nvidia,GTX 1650,2019
4653,HP,AMD Ryzen 7,8,512GB SSD,Nvidia,15.6,3840x2160,4.7,2.16,Windows,1531.94,AMD,Nvidia,,2020
4654,Asus,AMD Ryzen 5,8,512GB SSD,Integrated,16.0,1366x768,9.6,2.02,FreeDOS,628.5,AMD,Integrata,,2021
4655,Microsoft,AMD Ryzen 3,16,2TB SSD,Nvidia,16.0,2560x1440,4.2,2.84,macOS,876.28,AMD,Nvidia,,2020
4656,Samsung,Intel i7,32,256GB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.8,3.04,Windows,2485.7,Intel,AMD Radeon,RX 6800,2020
4657,Lenovo,Intel i3,64,256GB SSD,AMD Radeon RX 6600,17.3,2560x1440,5.4,2.58,macOS,2678.16,Intel,AMD Radeon,RX 6600,2021
4658,HP,Intel i5,4,1TB HDD,Nvidia,17.3,3840x2160,10.0,1.98,FreeDOS,1002.59,Intel,Nvidia,,2020
4659,Razer,Intel i9,16,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,5.1,2.85,macOS,3689.72,Intel,Nvidia,GTX 1650,2019
4660,Microsoft,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,11.4,2.43,macOS,1179.64,AMD,Nvidia,RTX 3080,2020
4661,MSI,AMD Ryzen 9,8,512GB SSD,Nvidia,15.6,1366x768,5.5,2.04,Linux,1478.92,AMD,Nvidia,,2021
4662,Razer,Intel i5,64,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,7.2,2.47,macOS,5584.02,Intel,Nvidia,GTX 1650,2019
4663,Samsung,AMD Ryzen 3,64,1TB SSD,AMD Radeon RX 6800,16.0,1920x1080,10.5,3.39,macOS,2288.28,AMD,AMD Radeon,RX 6800,2020
4664,Asus,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6800,13.3,1366x768,6.3,3.42,macOS,971.17,AMD,AMD Radeon,RX 6800,2020
4665,Acer,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,9.8,1.36,Linux,1542.42,AMD,Nvidia,RTX 3080,2020
4666,MSI,AMD Ryzen 7,64,2TB SSD,Nvidia GTX 1650,13.3,2560x1440,9.1,3.24,Windows,4811.58,AMD,Nvidia,GTX 1650,2019
4667,MSI,AMD Ryzen 7,16,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,9.0,2.48,Linux,1762.36,AMD,Nvidia,RTX 3080,2020
4668,Samsung,Intel i7,64,256GB SSD,Nvidia GTX 1650,13.3,1366x768,8.4,2.44,FreeDOS,2388.74,Intel,Nvidia,GTX 1650,2019
4669,Razer,Intel i7,16,1TB HDD,Nvidia RTX 3060,13.3,2560x1440,10.9,2.45,Windows,2223.47,Intel,Nvidia,RTX 3060,2021
4670,Dell,Intel i3,16,1TB SSD,Nvidia RTX 2060,15.6,1366x768,7.5,2.27,Linux,929.16,Intel,Nvidia,RTX 2060,2019
4671,Lenovo,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,8.5,1.64,Linux,1179.89,AMD,AMD Radeon,RX 6600,2021
4672,MSI,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 3080,14.0,1366x768,5.3,1.9,Linux,2237.93,AMD,Nvidia,RTX 3080,2020
4673,Microsoft,AMD Ryzen 5,4,1TB HDD,Integrated,13.3,1366x768,7.6,2.55,FreeDOS,433.1,AMD,Integrata,,2021
4674,Asus,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 2060,14.0,2560x1440,5.8,2.95,Windows,1130.14,AMD,Nvidia,RTX 2060,2019
4675,Samsung,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,5.0,1.57,FreeDOS,1715.85,AMD,Nvidia,RTX 2060,2019
4676,Lenovo,Intel i9,32,2TB SSD,Nvidia GTX 1650,15.6,1366x768,7.4,2.63,macOS,2417.65,Intel,Nvidia,GTX 1650,2019
4677,HP,Intel i7,8,256GB SSD,Nvidia RTX 3060,13.3,1920x1080,5.1,2.95,Windows,1308.38,Intel,Nvidia,RTX 3060,2021
4678,Lenovo,Intel i5,8,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,5.3,1.28,FreeDOS,1909.19,Intel,Nvidia,GTX 1650,2019
4679,HP,Intel i7,32,1TB SSD,Nvidia RTX 3080,14.0,1366x768,10.4,2.09,Windows,1540.29,Intel,Nvidia,RTX 3080,2020
4680,Razer,Intel i3,4,1TB SSD,Nvidia RTX 3060,16.0,3840x2160,10.9,3.09,FreeDOS,1792.5,Intel,Nvidia,RTX 3060,2021
4681,Dell,Intel i7,32,256GB SSD,AMD Radeon RX 6600,16.0,2560x1440,8.8,3.08,Windows,2685.25,Intel,AMD Radeon,RX 6600,2021
4683,HP,AMD Ryzen 5,32,1TB HDD,Nvidia RTX 2060,16.0,3840x2160,9.8,1.99,FreeDOS,2571.0,AMD,Nvidia,RTX 2060,2019
4684,Acer,AMD Ryzen 3,32,512GB SSD,AMD Radeon RX 6800,13.3,3840x2160,10.0,1.76,macOS,2171.37,AMD,AMD Radeon,RX 6800,2020
4685,Acer,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,7.1,1.73,macOS,975.8,AMD,Nvidia,GTX 1650,2019
4686,Lenovo,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,9.5,1.71,Linux,2591.23,AMD,Nvidia,RTX 3060,2021
4687,Samsung,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 3080,13.3,1366x768,6.5,3.39,macOS,899.35,AMD,Nvidia,RTX 3080,2020
4689,Razer,Intel i9,32,1TB SSD,Nvidia,13.3,1920x1080,11.9,2.67,FreeDOS,2582.9,Intel,Nvidia,,2019
4690,MSI,Intel i9,16,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.0,1.45,FreeDOS,4381.94,Intel,AMD Radeon,RX 6800,2020
4691,Lenovo,AMD Ryzen 5,16,1TB SSD,Nvidia GTX 1650,16.0,2560x1440,10.9,2.96,Windows,1749.9,AMD,Nvidia,GTX 1650,2019
4692,Acer,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3060,16.0,3840x2160,4.2,1.48,FreeDOS,2938.49,AMD,Nvidia,RTX 3060,2021
4693,Asus,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,8.2,1.67,Windows,2986.8,AMD,Nvidia,RTX 2060,2019
4694,HP,AMD Ryzen 3,8,2TB SSD,Integrated,17.3,1366x768,8.4,2.21,Linux,664.95,AMD,Integrata,,2020
4695,Dell,Intel i7,32,1TB HDD,Nvidia,17.3,1920x1080,4.6,3.49,Windows,1251.12,Intel,Nvidia,,2021
4696,Acer,AMD Ryzen 3,16,256GB SSD,Nvidia GTX 1650,14.0,1366x768,7.6,1.38,Linux,1005.49,AMD,Nvidia,GTX 1650,2019
4698,Microsoft,AMD Ryzen 9,4,1TB HDD,Nvidia,13.3,1920x1080,9.5,2.03,Windows,711.91,AMD,Nvidia,,2019
4699,MSI,Intel i7,64,1TB HDD,Nvidia RTX 2060,15.6,3840x2160,11.1,1.25,Windows,5839.74,Intel,Nvidia,RTX 2060,2019
4700,Lenovo,Intel i5,32,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,11.4,2.68,Linux,2086.1,Intel,Nvidia,RTX 2060,2019
4701,Razer,Intel i9,16,1TB HDD,Nvidia,13.3,3840x2160,10.2,1.34,FreeDOS,2421.03,Intel,Nvidia,,2020
4702,MSI,AMD Ryzen 7,4,512GB SSD,AMD Radeon RX 6600,13.3,2560x1440,7.8,3.41,macOS,1925.09,AMD,AMD Radeon,RX 6600,2021
4703,Dell,Intel i7,4,2TB SSD,Nvidia RTX 3080,14.0,2560x1440,7.5,3.04,Windows,1469.68,Intel,Nvidia,RTX 3080,2020
4705,Asus,Intel i9,64,512GB SSD,AMD Radeon RX 6800,13.3,3840x2160,4.1,3.23,FreeDOS,6653.69,Intel,AMD Radeon,RX 6800,2020
4706,Samsung,Intel i9,16,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,9.9,1.55,Windows,3478.09,Intel,Nvidia,RTX 3080,2020
4707,MSI,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,11.3,2.26,macOS,2689.4,AMD,AMD Radeon,RX 6800,2020
4708,MSI,Intel i5,64,512GB SSD,AMD Radeon RX 6600,17.3,1920x1080,4.7,2.94,macOS,3449.29,Intel,AMD Radeon,RX 6600,2021
4709,Samsung,Intel i7,64,256GB SSD,AMD Radeon RX 6600,14.0,3840x2160,7.6,2.82,Windows,4870.14,Intel,AMD Radeon,RX 6600,2021
4710,Samsung,AMD Ryzen 5,64,1TB HDD,Nvidia,14.0,1920x1080,11.8,3.27,FreeDOS,1407.66,AMD,Nvidia,,2021
4711,HP,Intel i3,16,2TB SSD,Nvidia,14.0,2560x1440,7.5,3.48,macOS,899.34,Intel,Nvidia,,2020
4712,Dell,AMD Ryzen 7,16,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,8.6,2.53,Linux,1540.5,AMD,Nvidia,GTX 1650,2019
4713,Microsoft,Intel i5,16,1TB HDD,Nvidia GTX 1650,13.3,1366x768,5.4,2.85,Windows,940.32,Intel,Nvidia,GTX 1650,2019
4715,HP,Intel i7,32,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,10.5,2.36,Linux,2206.15,Intel,Nvidia,RTX 3080,2020
4717,MSI,AMD Ryzen 9,4,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,4.6,2.68,macOS,1926.78,AMD,Nvidia,RTX 3080,2020
4718,Dell,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3080,15.6,2560x1440,9.7,3.24,FreeDOS,2221.38,AMD,Nvidia,RTX 3080,2020
4719,Samsung,Intel i5,64,1TB SSD,Nvidia GTX 1650,16.0,2560x1440,4.7,2.74,FreeDOS,3326.04,Intel,Nvidia,GTX 1650,2019
4720,MSI,AMD Ryzen 9,16,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,6.3,1.88,FreeDOS,4238.65,AMD,Nvidia,GTX 1650,2019
4721,MSI,Intel i5,16,1TB SSD,Nvidia,17.3,2560x1440,10.3,3.34,Linux,1411.27,Intel,Nvidia,,2019
4722,Razer,Intel i5,64,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,11.4,3.36,FreeDOS,4235.61,Intel,Nvidia,RTX 3060,2021
4723,Lenovo,AMD Ryzen 3,32,256GB SSD,Nvidia RTX 2060,16.0,1920x1080,5.3,3.41,macOS,1490.24,AMD,Nvidia,RTX 2060,2019
4725,Lenovo,AMD Ryzen 9,16,512GB SSD,Nvidia,13.3,3840x2160,7.5,3.44,macOS,2158.93,AMD,Nvidia,,2020
4726,HP,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 2060,17.3,1920x1080,9.6,1.37,macOS,2112.45,AMD,Nvidia,RTX 2060,2019
4727,Samsung,Intel i3,32,256GB SSD,AMD Radeon RX 6800,16.0,1366x768,5.3,2.45,macOS,1333.66,Intel,AMD Radeon,RX 6800,2020
4728,Razer,AMD Ryzen 3,4,1TB SSD,AMD Radeon RX 6800,14.0,2560x1440,4.3,1.64,macOS,1426.7,AMD,AMD Radeon,RX 6800,2020
4729,Dell,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 2060,17.3,3840x2160,9.9,2.71,macOS,2198.73,AMD,Nvidia,RTX 2060,2019
4730,Asus,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,15.6,1366x768,9.5,3.39,FreeDOS,988.01,AMD,Nvidia,RTX 3080,2020
4731,MSI,Intel i7,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.9,3.4,Linux,3432.75,Intel,Nvidia,RTX 3060,2021
4732,Samsung,Intel i9,4,1TB SSD,Nvidia RTX 3080,14.0,1366x768,9.3,2.94,macOS,1196.02,Intel,Nvidia,RTX 3080,2020
4733,Dell,Intel i3,8,2TB SSD,Nvidia RTX 2060,17.3,3840x2160,4.9,3.02,Linux,1628.8,Intel,Nvidia,RTX 2060,2019
4734,Asus,AMD Ryzen 9,8,1TB HDD,Nvidia RTX 3080,15.6,3840x2160,8.6,3.16,Windows,2522.04,AMD,Nvidia,RTX 3080,2020
4735,Samsung,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 3080,15.6,1920x1080,12.0,3.06,Linux,1538.39,AMD,Nvidia,RTX 3080,2020
4736,Acer,AMD Ryzen 5,16,1TB SSD,Nvidia,14.0,1920x1080,5.0,2.6,Linux,763.81,AMD,Nvidia,,2020
4737,Lenovo,Intel i9,32,1TB SSD,Nvidia GTX 1650,15.6,1920x1080,8.9,1.49,macOS,3018.0,Intel,Nvidia,GTX 1650,2019
4738,Microsoft,Intel i5,8,512GB SSD,AMD Radeon RX 6600,17.3,3840x2160,7.7,3.06,Linux,1699.48,Intel,AMD Radeon,RX 6600,2021
4739,Asus,Intel i3,32,256GB SSD,AMD Radeon RX 6800,14.0,1366x768,10.3,3.37,Linux,1047.93,Intel,AMD Radeon,RX 6800,2020
4740,Samsung,Intel i3,4,2TB SSD,Nvidia RTX 3080,13.3,2560x1440,8.6,3.24,macOS,1005.94,Intel,Nvidia,RTX 3080,2020
4741,Microsoft,Intel i5,4,1TB HDD,Integrated,13.3,1366x768,8.9,2.16,Linux,512.54,Intel,Integrata,,2021
4742,Acer,Intel i5,8,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,11.0,1.78,Windows,980.33,Intel,Nvidia,GTX 1650,2019
4743,MSI,AMD Ryzen 7,64,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,6.9,1.42,macOS,6322.61,AMD,AMD Radeon,RX 6800,2020
4744,MSI,AMD Ryzen 7,4,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,5.4,1.56,macOS,1281.94,AMD,AMD Radeon,RX 6600,2021
4745,Acer,Intel i5,16,256GB SSD,Nvidia GTX 1650,13.3,1366x768,7.9,2.48,Windows,1010.14,Intel,Nvidia,GTX 1650,2019
4746,Samsung,AMD Ryzen 9,8,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,5.2,2.18,macOS,1870.78,AMD,AMD Radeon,RX 6600,2021
4748,Samsung,Intel i9,16,1TB SSD,Nvidia RTX 2060,17.3,1366x768,8.3,1.7,Windows,1956.9,Intel,Nvidia,RTX 2060,2019
4749,Asus,AMD Ryzen 5,8,256GB SSD,Nvidia RTX 3060,14.0,1920x1080,5.4,2.56,macOS,902.04,AMD,Nvidia,RTX 3060,2021
4750,Lenovo,Intel i5,64,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,6.7,1.78,FreeDOS,2719.82,Intel,Nvidia,RTX 3060,2021
4751,Acer,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3080,14.0,1366x768,5.8,1.49,FreeDOS,658.31,AMD,Nvidia,RTX 3080,2020
4752,HP,Intel i3,32,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,10.2,2.74,Linux,1417.99,Intel,Nvidia,GTX 1650,2019
4755,Lenovo,Intel i7,8,512GB SSD,AMD Radeon RX 6800,14.0,1366x768,11.6,3.24,Linux,1173.27,Intel,AMD Radeon,RX 6800,2020
4756,Acer,Intel i9,16,1TB HDD,Nvidia RTX 3060,15.6,3840x2160,11.9,1.44,macOS,3088.16,Intel,Nvidia,RTX 3060,2021
4757,Lenovo,Intel i7,4,2TB SSD,Nvidia GTX 1650,17.3,1366x768,4.9,2.83,Windows,1009.9,Intel,Nvidia,GTX 1650,2019
4758,HP,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6800,17.3,2560x1440,5.4,2.14,macOS,3299.2,AMD,AMD Radeon,RX 6800,2020
4759,Dell,Intel i5,4,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,9.9,3.29,Windows,1622.71,Intel,Nvidia,RTX 3060,2021
4761,Acer,Intel i5,8,2TB SSD,Nvidia GTX 1650,15.6,1366x768,10.6,2.57,macOS,953.16,Intel,Nvidia,GTX 1650,2019
4762,Asus,Intel i7,16,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,10.9,1.68,macOS,1371.23,Intel,Nvidia,RTX 3060,2021
4763,Asus,AMD Ryzen 5,16,1TB HDD,Nvidia RTX 3080,15.6,2560x1440,4.9,3.04,FreeDOS,1340.83,AMD,Nvidia,RTX 3080,2020
4764,MSI,AMD Ryzen 5,16,256GB SSD,Nvidia RTX 3060,16.0,1920x1080,7.6,3.49,Windows,1689.42,AMD,Nvidia,RTX 3060,2021
4765,Asus,Intel i3,32,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,11.6,2.53,Linux,1259.03,Intel,AMD Radeon,RX 6600,2021
4766,Acer,AMD Ryzen 7,32,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,7.2,2.04,Windows,1829.73,AMD,AMD Radeon,RX 6600,2021
4767,Acer,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,12.0,3.46,macOS,1023.32,AMD,AMD Radeon,RX 6800,2020
4768,Asus,AMD Ryzen 9,8,1TB SSD,AMD Radeon RX 6600,16.0,2560x1440,7.8,1.43,Linux,2335.21,AMD,AMD Radeon,RX 6600,2021
4770,Acer,AMD Ryzen 7,16,512GB SSD,Nvidia,15.6,1366x768,9.7,2.82,macOS,909.83,AMD,Nvidia,,2020
4771,Acer,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,4.1,2.98,Linux,1036.89,AMD,AMD Radeon,RX 6800,2020
4772,HP,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,5.3,3.45,macOS,2267.41,AMD,AMD Radeon,RX 6800,2020
4773,Acer,Intel i3,4,256GB SSD,Nvidia RTX 2060,13.3,3840x2160,4.5,2.02,Windows,1354.87,Intel,Nvidia,RTX 2060,2019
4774,Lenovo,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,13.3,2560x1440,7.3,1.26,Windows,2104.67,AMD,Nvidia,GTX 1650,2019
4775,Razer,AMD Ryzen 7,16,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,6.6,2.35,macOS,3324.46,AMD,AMD Radeon,RX 6600,2021
4776,Dell,Intel i3,64,1TB SSD,AMD Radeon RX 6600,16.0,3840x2160,11.0,2.45,Windows,3692.19,Intel,AMD Radeon,RX 6600,2021
4777,Microsoft,AMD Ryzen 3,8,1TB SSD,AMD Radeon RX 6800,16.0,1366x768,10.7,2.54,Linux,694.21,AMD,AMD Radeon,RX 6800,2020
4778,MSI,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 2060,16.0,1920x1080,10.0,2.64,Windows,1993.2,AMD,Nvidia,RTX 2060,2019
4779,Acer,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,10.3,2.41,Windows,1233.15,AMD,Nvidia,RTX 3060,2021
4780,MSI,Intel i5,32,256GB SSD,Nvidia RTX 3060,14.0,1920x1080,11.8,3.38,Linux,2172.33,Intel,Nvidia,RTX 3060,2021
4781,Samsung,AMD Ryzen 5,32,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,10.9,1.26,Linux,1404.95,AMD,AMD Radeon,RX 6600,2021
4784,Acer,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 3060,15.6,1920x1080,4.1,3.18,Linux,1771.93,AMD,Nvidia,RTX 3060,2021
4785,Microsoft,Intel i5,8,1TB HDD,Nvidia,16.0,3840x2160,10.9,2.82,FreeDOS,953.1,Intel,Nvidia,,2019
4786,Lenovo,Intel i3,32,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,7.7,3.09,macOS,1721.44,Intel,Nvidia,RTX 2060,2019
4787,Acer,Intel i9,4,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,6.0,2.56,Linux,1616.72,Intel,Nvidia,RTX 3060,2021
4791,Asus,Intel i5,32,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,4.1,1.4,Linux,2697.23,Intel,AMD Radeon,RX 6600,2021
4792,Acer,Intel i3,8,2TB SSD,Nvidia RTX 3060,13.3,3840x2160,4.4,2.22,FreeDOS,1338.55,Intel,Nvidia,RTX 3060,2021
4793,Lenovo,Intel i9,64,2TB SSD,Nvidia RTX 3060,15.6,1920x1080,10.5,2.14,Windows,4382.43,Intel,Nvidia,RTX 3060,2021
4794,Razer,AMD Ryzen 9,16,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,8.0,2.28,FreeDOS,2411.47,AMD,AMD Radeon,RX 6800,2020
4795,Acer,AMD Ryzen 9,32,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,5.5,3.07,Windows,4321.8,AMD,AMD Radeon,RX 6800,2020
4797,HP,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 3060,14.0,3840x2160,8.0,3.28,Windows,2490.17,AMD,Nvidia,RTX 3060,2021
4798,Lenovo,Intel i5,4,1TB SSD,Nvidia RTX 2060,15.6,3840x2160,8.0,1.75,Windows,1766.02,Intel,Nvidia,RTX 2060,2019
4799,MSI,AMD Ryzen 7,4,1TB HDD,AMD Radeon RX 6600,13.3,1920x1080,10.0,1.97,Windows,1094.24,AMD,AMD Radeon,RX 6600,2021
4800,Lenovo,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,14.0,2560x1440,7.2,2.35,Linux,1717.34,AMD,Nvidia,RTX 3080,2020
4801,Samsung,AMD Ryzen 5,64,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,7.6,2.3,Linux,4294.35,AMD,AMD Radeon,RX 6800,2020
4802,HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,8.2,1.57,Windows,2376.1,Intel,AMD Radeon,RX 6600,2021
4803,Dell,Intel i7,16,2TB SSD,Nvidia GTX 1650,13.3,2560x1440,5.6,1.84,Linux,1864.48,Intel,Nvidia,GTX 1650,2019
4804,MSI,Intel i9,32,256GB SSD,Nvidia RTX 3060,15.6,3840x2160,7.5,2.5,Windows,6183.8,Intel,Nvidia,RTX 3060,2021
4806,Samsung,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,7.1,2.97,FreeDOS,2191.14,AMD,Nvidia,RTX 3060,2021
4807,HP,Intel i3,32,1TB SSD,Nvidia RTX 2060,14.0,1920x1080,11.0,1.41,macOS,1460.25,Intel,Nvidia,RTX 2060,2019
4808,Razer,AMD Ryzen 5,8,2TB SSD,Nvidia,17.3,2560x1440,4.9,1.38,macOS,1237.28,AMD,Nvidia,,2019
4810,Lenovo,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 3080,16.0,2560x1440,12.0,3.33,FreeDOS,1477.47,AMD,Nvidia,RTX 3080,2020
4811,Acer,Intel i3,4,1TB HDD,Nvidia RTX 2060,15.6,3840x2160,7.8,1.58,macOS,1233.29,Intel,Nvidia,RTX 2060,2019
4812,Dell,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,4.7,2.49,macOS,998.63,AMD,Nvidia,RTX 3080,2020
4813,Lenovo,AMD Ryzen 5,64,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,11.9,2.46,macOS,2400.7,AMD,Nvidia,RTX 2060,2019
4814,Samsung,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 3080,15.6,2560x1440,7.3,2.97,Linux,1796.14,AMD,Nvidia,RTX 3080,2020
4816,Lenovo,AMD Ryzen 3,4,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,9.6,2.22,Windows,957.21,AMD,AMD Radeon,RX 6600,2021
